a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.43-1
acl 2.2.52-3
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alpm_octopi_utils 1.0.0-1
alsa-lib 1.1.3-1
apr 1.5.2-1
apr-util 1.5.4-2
arandr 0.1.9-2
arch-install-scripts 17-1
archiso 29-1
archlinux-keyring 20170104-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
b43-fwcutter 019-1
babl 0.1.18-1
bash 4.4.011-2
bc 1.06.95-3
binutils 2.27-1
bison 3.0.4-2
bluez-libs 5.43-2
boost-libs 1.63.0-1
btrfs-progs 4.9-1
bunsen-common-git r47.ba01cba-1
bunsen-images 1.0-2
bunsen-openbox-pipemenus-git r280.4234d03-1
bunsen-themes-git r57.b79a1e6-1
bunsen-utilities-git r246.3370607-1
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.28.1-1
ca-certificates-utils 20160507-1
cairo 1.14.8-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.25-3
catfish 1.4.2-3
cdparanoia 10.2-5
chromium 56.0.2924.87-1
cifs-utils 6.5-1
clipit 1.4.3-1
clucene 2.3.3.4-9
cmake 3.7.2-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-4
confuse 3.0-1
conky 1.10.6-1
conky-manager 2.4-2
coreutils 8.26-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
ctpl 0.3.4-1
curl 7.52.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
devtools 20160528-1
dhcpcd 6.11.5-1
diffutils 3.5-1
djvulibre 3.5.27-3
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook2x 0.8.8-15
dosfstools 4.0-3
drun 1.0.3-1
e2fsprogs 1.43.4-1
elfutils 0.168-1
enca 1.19-1
enchant 1.6.0-10
evince 3.22.1-1
exo 0.10.7-2
expac 8-1
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
faenza-icon-theme 1.3.1-4
fakeroot 1.21-2
ffmpeg 1:3.2.2-2
ffmpeg2.8 2.8.9-2
file 5.29-1
file-roller 3.22.2-1
filesystem 2016.12-2
findutils 4.6.0-2
fixesproto 5.0-3
flac 1.3.2-1
flex 2.6.3-1
fontconfig-ubuntu 2.11.94-2
fontsproto 2.1.3-1
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
galculator 2.1.4-2
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-1
gcc-libs 6.3.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gdbm 1.12-2
gdk-pixbuf2 2.36.4-1
geany 1.29-1
geany-plugins 1.29-3
gegl02 0.2.0-7
geoclue2 2.4.5-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.18-4
git 2.11.1-1
gksu 2.0.2-5
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmp 6.1.2-1
gmrun 0.9.2-6
gnome-desktop 1:3.22.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-themes-standard 3.22.2-1
gnumeric 1.12.32-1
gnupg 2.1.18-1
gnutls 3.5.8-2
gobject-introspection 1.50.0+1+gb8d92b0-2
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
goffice 0.10.31-1
gpgme 1.7.1-2
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.27-1
groff 1.22.3-7
grub 1:2.02.beta3-6
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsl 2.3-1
gsm 1.0.16-1
gst-plugins-base 1.10.3-1
gst-plugins-base-libs 1.10.3-1
gstreamer 1.10.3-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-recordmydesktop 0.3.8-7
gtk-theme-arc-grey-git 718.ee8ba05-1
gtk-update-icon-cache 3.22.7-2
gtk2 2.24.31-1
gtk3 3.22.7-2
gtkmm 2.24.4-2
gtkspell 2.0.16-3
guile 2.0.13-2
gvfs 1.30.3-1
gzip 1.8-2
harfbuzz 1.4.2-1
harfbuzz-icu 1.4.2-1
hdf5 1.10.0_patch1-1
help2man 1.47.3-2
hexchat 2.12.4-2
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
iana-etc 20161101-1
icu 58.2-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.7.5-1
imlib2 1.4.9-1
